,prediction
516,2.1944166666666676
517,1.0756666666666677
518,1.0314166666666682
519,1.6199999999999988
520,1.0664999999999991
521,1.2107499999999987
522,1.5803333333333314
523,1.055749999999999
524,1.0783333333333325
525,1.9636666666666671
526,1.3875000000000017
527,1.8445000000000007
528,1.2090833333333328
529,0.9906666666666659
530,1.077333333333333
531,1.8649166666666646
532,1.3863333333333328
533,1.4454999999999996
534,1.2875000000000003
535,0.8226666666666663
536,1.5388333333333342
537,2.316833333333334
538,0.9412500000000011
539,1.6224999999999992
540,1.6043333333333332
541,1.8264166666666664
542,1.109166666666666
543,2.0402499999999977
544,1.6069166666666652
545,1.225250000000003
546,1.5225833333333323
547,1.4666666666666663
548,0.6903333333333337
549,1.4264166666666673
550,1.069166666666669
551,0.8870833333333322
552,1.095
553,1.7700000000000007
554,0.9477500000000012
555,1.7402500000000003
556,0.8796666666666666
557,1.5340000000000018
558,0.7937499999999995
559,1.0448333333333333
560,1.490750000000002
561,1.2860833333333337
562,1.4360000000000002
563,1.10775
564,1.1355833333333327
565,1.453166666666667
566,1.2970000000000004
567,1.5924999999999985
568,1.4347500000000015
569,1.1324166666666677
570,1.4549166666666644
571,1.2873333333333334
572,1.5650000000000022
573,1.2460833333333328
574,1.3427499999999999
575,1.1579999999999988
576,1.2636666666666672
577,1.5885000000000005
578,1.0840833333333333
579,1.4845833333333327
580,1.6635833333333319
581,0.9364166666666676
582,0.6825833333333338
583,1.1928333333333359
584,1.6095000000000006
585,1.2417500000000004
586,0.9256666666666671
587,0.9766666666666672
588,1.396166666666665
589,2.506666666666668
590,0.8334999999999997
591,1.2984166666666672
592,1.6467500000000006
593,1.2187499999999996
594,1.4053333333333315
595,1.6052500000000005
596,1.7767500000000023
597,1.3960833333333331
598,0.7168333333333338
599,1.6098333333333341
600,0.8763333333333327
601,1.5503333333333307
602,1.1593333333333316
603,1.0302499999999999
604,1.2721666666666664
605,1.4750833333333333
606,1.327000000000001
607,1.0920833333333337
608,0.8058333333333334
609,1.804166666666664
610,2.372749999999998
611,1.5046666666666668
612,2.350166666666666
613,1.323583333333334
614,1.701
615,1.686249999999998
616,1.154083333333333
617,1.1815000000000002
618,1.2708333333333328
619,1.183666666666667
620,1.3818333333333326
621,1.2294999999999994
622,1.1552500000000023
623,1.692833333333333
624,0.8349166666666673
625,1.0254999999999999
626,1.5756666666666654
627,1.3025
628,1.8278333333333348
629,1.3564999999999998
630,0.8157500000000008
631,1.399
632,1.1865833333333329
633,1.0669999999999995
634,0.975250000000003
635,1.249333333333332
636,1.5995833333333338
637,1.5283333333333318
638,2.167833333333337
639,1.7392500000000024
640,0.9691666666666652
641,1.4143333333333306
642,1.433333333333333
643,1.540499999999999
